DOY,ALB
121,0.09787800163030624
122,0.08254799991846085
123,0.0833590030670166
124,0.08069100230932236
125,0.0826909989118576
126,0.08388099819421768
127,0.08388099819421768
128,0.07757999747991562
129,0.07620300352573395
130,0.07757999747991562
131,0.07746899873018265
132,0.07609099894762039
133,0.07684600353240967
134,0.07684600353240967
135,0.07697899639606476
136,0.07735700160264969
137,0.07460100203752518
138,0.07397899776697159
139,0.07397899776697159
140,0.07397899776697159
141,0.0733570009469986
142,0.0733570009469986
143,0.0733570009469986
144,0.07724499702453613
145,0.07724499702453613
146,0.07073599845170975
147,0.06797900050878525
148,0.06384599953889847
149,0.06397899985313416
150,0.054958000779151917
151,0.0624920018017292
152,0.05930300056934357
153,0.05930300056934357
154,0.05930300056934357
155,0.05930300056934357
156,0.05930300056934357
157,0.05930300056934357
158,0.05930300056934357
159,0.058302998542785645
160,0.058302998542785645
161,0.058302998542785645
162,0.05730300024151802
163,0.05730300024151802
164,0.05730300024151802
165,0.05730300024151802
166,0.056450150161981585
167,0.05559730008244514
168,0.05474445000290871
169,0.053891599923372266
170,0.05303874984383583
171,0.052185899764299395
172,0.05133304968476295
173,0.05048019960522652
174,0.049627349525690076
175,0.04877449944615364
176,0.047921649366617206
177,0.04706879928708076
178,0.04621594920754433
179,0.045363099128007886
180,0.04451024904847145
181,0.043657398968935016
182,0.04280454888939857
183,0.04195169880986214
184,0.041098848730325696
185,0.04024599865078926
186,0.04024599865078926
187,0.04024599865078926
188,0.04024599865078926
189,0.04024599865078926
190,0.04024599865078926
191,0.04024599865078926
192,0.04024599865078926
193,0.04024599865078926
194,0.04024599865078926
195,0.04024599865078926
196,0.04024599865078926
197,0.039868999272584915
198,0.039868999272584915
199,0.039868999272584915
200,0.042869001626968384
201,0.042567084853847824
202,0.04226516808072726
203,0.0419632513076067
204,0.04166133453448614
205,0.04135941776136557
206,0.04105750098824501
207,0.04075558421512445
208,0.040453667442003884
209,0.040151750668883324
210,0.039849833895762764
211,0.0395479171226422
212,0.03924600034952164
213,0.036151500418782234
214,0.03305700048804283
215,0.03305700048804283
216,0.03305700048804283
217,0.03305700048804283
218,0.03305700048804283
219,0.03305700048804283
220,0.03305700048804283
221,0.03305700048804283
222,0.03305700048804283
223,0.03305700048804283
224,0.03305700048804283
225,0.03305700048804283
226,0.036056999117136
227,0.036056999117136
228,0.037057001143693924
229,0.03805699944496155
230,0.038604249246418476
231,0.039151499047875404
232,0.03969874884933233
233,0.04024599865078926
234,0.04024599865078926
235,0.03924600034952164
236,0.03924600034952164
237,0.03924600034952164
238,0.03924600034952164
239,0.03924600034952164
240,0.03924600034952164
241,0.03924600034952164
242,0.03924600034952164
243,0.03924600034952164
244,0.03924600034952164
245,0.03924600034952164
246,0.03924600034952164
