DOY,LAI,ALB
1,0.3,0.050252001732587814
2,0.28125,0.050252001732587814
3,0.2625,0.050252001732587814
4,0.24375,0.050252001732587814
5,0.225,0.050252001732587814
6,0.22812500000000002,0.050252001732587814
7,0.23125,0.5889989733695984
8,0.234375,0.5983780026435852
9,0.23750000000000002,0.5983780026435852
10,0.22812500000000002,0.5983780026435852
11,0.21875,0.5983780026435852
12,0.209375,0.5983780026435852
13,0.2,0.5983780026435852
14,0.20625000000000002,0.5983780026435852
15,0.21250000000000002,0.5983780026435852
16,0.21875000000000003,0.5983780026435852
17,0.22500000000000003,0.5983780026435852
18,0.24375000000000002,0.5983780026435852
19,0.2625,0.05525299906730652
20,0.28125,0.05525299906730652
21,0.3,0.05525299906730652
22,0.3,0.05525299906730652
23,0.30000000000000004,0.05525299906730652
24,0.30000000000000004,0.05525299906730652
25,0.30000000000000004,0.053950998932123184
26,0.30000000000000004,0.05238400027155876
27,0.30000000000000004,0.053383998572826385
28,0.30000000000000004,0.05438400059938431
29,0.30000000000000004,0.05300600081682205
30,0.30000000000000004,0.06139200180768967
31,0.30000000000000004,0.06883099675178528
32,0.30000000000000004,0.06883099675178528
33,0.30000000000000004,0.06920900195837021
34,0.30000000000000004,0.06845299899578094
35,0.30000000000000004,0.06845299899578094
36,0.30000000000000004,0.06856100261211395
37,0.30000000000000004,0.06856100261211395
38,0.30000000000000004,0.0671830028295517
39,0.30000000000000004,0.06912899762392044
40,0.3,0.06912899762392044
41,0.3,0.06956099718809128
42,0.3,0.0681840032339096
43,0.3,0.06707700341939926
44,0.3,0.0684560015797615
45,0.3,0.06756400316953659
46,0.3,0.07072299718856812
47,0.3,0.07072299718856812
48,0.3,0.07072299718856812
49,0.3,0.07072299718856812
50,0.3,0.07139699906110764
51,0.3,0.07039699703454971
52,0.3,0.0710970014333725
53,0.3,0.07090800255537033
54,0.3,0.07090800255537033
55,0.3,0.07190799713134766
56,0.3,0.07136200368404388
57,0.3,0.07197900116443634
58,0.325,0.07235600054264069
59,0.35,0.07230199873447418
60,0.375,0.07248999923467636
61,0.4,0.07248999923467636
62,0.375,0.07248999923467636
63,0.35,0.07248999923467636
64,0.325,0.07248999923467636
65,0.3,0.07248999923467636
66,0.375,0.06811200082302094
67,0.44999999999999996,0.06811200082302094
68,0.5249999999999999,0.06191600114107132
69,0.6,0.07719600200653076
70,0.625,0.07744099944829941
71,0.6499999999999999,0.07681900262832642
72,0.6749999999999999,0.08292599767446518
73,0.7,0.0835459977388382
74,0.7,0.0835459977388382
75,0.7,0.08392500132322311
76,0.7,0.07906600087881088
77,0.7,0.07893099635839462
78,0.7,0.07874199748039246
79,0.7,0.07874199748039246
80,0.7,0.07836499810218811
81,0.7,0.07836499810218811
82,0.7,0.07722999900579453
83,0.7,0.0780399963259697
84,0.7,0.08025600016117096
85,0.7,0.06993500143289566
86,0.75,0.06974499672651291
87,0.8,0.06836699694395065
88,0.85,0.06020300090312958
89,0.9,0.06020300090312958
90,0.9,0.06020300090312958
91,0.9,0.05928200110793114
92,0.9,0.060607001185417175
93,0.9,0.057794999331235886
94,0.90625,0.057794999331235886
95,0.9125000000000001,0.057794999331235886
96,0.9187500000000001,0.05679500102996826
97,0.925,0.05679500102996826
98,0.9187500000000001,0.05679500102996826
99,0.9125000000000001,0.05679500102996826
100,0.90625,0.054983001202344894
101,0.9,0.054983001202344894
102,0.925,0.05398400127887726
103,0.95,0.05398400127887726
104,0.975,0.053605999797582626
105,1.0,0.04979399964213371
106,1.05,0.05117199942469597
107,1.1,0.050172001123428345
108,1.15,0.050172001123428345
109,1.2,0.05460600182414055
110,1.4,0.05460600182414055
111,1.6,0.05460600182414055
112,1.8,0.05560600012540817
113,2.0,0.05560600012540817
114,2.00625,0.057794999331235886
115,2.0125,0.05879500135779381
116,2.01875,0.05760600045323372
117,2.025,0.07082299888134003
118,2.04375,0.06898900121450424
119,2.0625,0.06495899707078934
120,2.08125,0.059553999453783035
121,2.1,0.05890600010752678
122,2.1,0.05890600010752678
123,2.1,0.058393001556396484
124,2.1,0.058393001556396484
125,2.1,0.05852599814534187
126,2.14375,0.05776999890804291
127,2.1875,0.0566370002925396
128,2.23125,0.05709400027990341
129,2.275,0.05709400027990341
130,2.3421875,0.05993000045418739
131,2.409375,0.059119001030921936
132,2.4765625,0.05703900009393692
133,2.54375,0.05741700157523155
