DOY,LAI,ALB
183,1.01666259765625,0.0241301991045475
184,1.015362548828125,0.02399260178208351
185,1.0140625,0.023545801639556885
186,1.0105468750000002,0.026009000837802887
187,1.00703125,0.026226799935102463
188,1.003515625,0.026411699131131172
189,1.0,0.024054599925875664
190,1.0,0.024678999558091164
191,1.0,0.025087900459766388
192,1.0,0.02670149877667427
193,1.0,0.02703160047531128
194,0.99375,0.027164798229932785
195,0.9875,0.027156300842761993
196,0.98125,0.026915401220321655
197,0.975,0.02679070085287094
198,0.98125,0.026823800057172775
199,0.9875,0.027381200343370438
200,0.99375,0.027905501425266266
201,1.0,0.027107100933790207
202,0.975,0.027697600424289703
203,0.95,0.028257299214601517
204,0.925,0.02819959819316864
205,0.9,0.028163202106952667
206,0.89375,0.027695799246430397
207,0.8875,0.02789520099759102
208,0.88125,0.025698799639940262
209,0.875,0.025665700435638428
210,0.88125,0.025927100330591202
211,0.8875,0.02598480135202408
212,0.89375,0.026499800384044647
213,0.9,0.026600699871778488
214,0.925,0.027108000591397285
215,0.95,0.02716049924492836
216,0.975,0.02698489837348461
217,1.0,0.027307502925395966
218,1.0,0.026949502527713776
219,1.0,0.0275782011449337
220,1.0,0.027453500777482986
221,1.0,0.0280287005007267
222,1.0,0.02784379944205284
223,1.0,0.027534201741218567
224,1.0,0.02709059976041317
225,1.0,0.027156800031661987
226,1.0,0.02698970027267933
227,1.0,0.026947299018502235
228,1.0,0.027286499738693237
229,1.0,0.0272195003926754
230,1.001171875,0.026604698970913887
231,1.00234375,0.027011103928089142
232,1.003515625,0.027192700654268265
233,1.0046875,0.02731819823384285
234,1.003515625,0.027742400765419006
235,1.00234375,0.027131401002407074
236,1.001171875,0.02735619992017746
237,1.0,0.02551170065999031
238,1.0046875,0.026169199496507645
239,1.009375,0.02651190012693405
240,1.0140625,0.027095500379800797
241,1.01875,0.02722020074725151
242,1.0140625,0.02722020074725151
243,1.009375,0.027153199538588524
244,1.0046875,0.03167419880628586
245,1.0,0.031298402696847916
246,1.025,0.03360939770936966
247,1.05,0.035245999693870544
248,1.0750000000000002,0.03475400060415268
249,1.1,0.03517819941043854
250,1.1062500000000002,0.03468699753284454
251,1.1125,0.03466919809579849
252,1.11875,0.03476930037140846
253,1.125,0.03535810112953186
254,1.11875,0.03568299859762192
255,1.1125,0.0363227017223835
256,1.1062500000000002,0.036098700016736984
257,1.1,0.03625649958848953
258,1.09375,0.03658819943666458
259,1.0875000000000001,0.03666370362043381
260,1.0812500000000003,0.03619460016489029
261,1.0750000000000002,0.03664340078830719
262,1.1062500000000002,0.03575260192155838
263,1.1375000000000002,0.03594350069761276
264,1.16875,0.035777200013399124
265,1.2,0.03601809963583946
266,1.2125,0.03686479851603508
267,1.225,0.0370803028345108
268,1.2375,0.036989498883485794
269,1.25,0.037289801985025406
270,1.2375,0.03738990053534508
271,1.225,0.03738990053534508
272,1.2125,0.037730101495981216
273,1.2,0.03776320070028305
274,1.2,0.037244901061058044
275,1.2,0.03721180185675621
276,1.2,0.037879399955272675
277,1.2,0.037879399955272675
278,1.25,0.03801940008997917
279,1.2999999999999998,0.03761900216341019
280,1.3499999999999999,0.0382348969578743
281,1.4,0.03806779906153679
282,1.3875,0.03780990093946457
283,1.375,0.03779040277004242
284,1.3624999999999998,0.0380450002849102
285,1.3499999999999999,0.03750370070338249
286,1.3624999999999998,0.037245798856019974
287,1.375,0.037270400673151016
288,1.3875,0.037270400673151016
289,1.4,0.03737049922347069
290,1.4,0.03751299902796745
291,1.4,0.03768610209226608
292,1.4,0.038299597799777985
293,1.4,0.03834199905395508
294,1.4012939453125,0.038658298552036285
295,1.402587890625,0.03868290036916733
296,1.4038818359374998,0.03853189945220947
297,1.4051757812499999,0.03863200172781944
298,1.4063232421874998,0.04057920351624489
299,1.407470703125,0.04169650375843048
300,1.4086181640625,0.04236820340156555
301,1.409765625,0.04170989990234375
302,1.4100585937499999,0.0431751012802124
303,1.4103515624999998,0.04334139823913574
304,1.41064453125,0.04353230074048042
305,1.4109375,0.043723199516534805
306,1.42109375,0.048256199806928635
307,1.43125,0.04436109960079193
308,1.44140625,0.04352720081806183
309,1.4515625,0.04382949694991112
310,1.4636718750000002,0.04272159934043884
311,1.47578125,0.04745899885892868
312,1.487890625,0.047434400767087936
313,1.5,0.047434400767087936
314,1.525,0.04616599902510643
315,1.55,0.04629920423030853
316,1.5750000000000002,0.04644089937210083
317,1.6,0.047115400433540344
318,1.609375,0.047115400433540344
319,1.6187500000000001,0.04625000059604645
320,1.6281250000000003,0.04628310352563858
321,1.6375000000000002,0.044308800250291824
322,1.6281250000000003,0.044308800250291824
323,1.6187500000000001,0.045105502009391785
324,1.609375,0.04400499910116196
325,1.6,0.04052039980888367
326,1.6046875,0.04096999764442444
327,1.609375,0.04055340215563774
328,1.6140625,0.04169530048966408
329,1.61875,0.04169530048966408
330,1.665625,0.042505599558353424
331,1.7125,0.04197370260953903
332,1.759375,0.04203139990568161
333,1.80625,0.04206790030002594
334,1.8296875,0.04177359864115715
335,1.853125,0.04222240298986435
336,1.8765625,0.04222240298986435
337,1.9,0.04112560302019119
338,1.8937499999999998,0.04105009883642197
339,1.8875,0.04098309949040413
340,1.88125,0.041215598583221436
341,1.875,0.03954600170254707
342,1.86875,0.03941280022263527
343,1.8624999999999998,0.038469500839710236
344,1.85625,0.03841859847307205
345,1.8499999999999999,0.03831849992275238
346,1.8125,0.03865030035376549
347,1.775,0.03940659761428833
348,1.7374999999999998,0.03940659761428833
349,1.7,0.03956359997391701
350,1.703125,0.03994789719581604
351,1.7062499999999998,0.04012349992990494
352,1.7093749999999999,0.040190499275922775
353,1.7125,0.040521398186683655
354,1.7093749999999999,0.03993479907512665
355,1.7062499999999998,0.03997720032930374
356,1.703125,0.04043060168623924
357,1.7,0.04278969764709473
358,1.7062499999999998,0.041403599083423615
359,1.7125,0.04222800210118294
360,1.71875,0.04207390174269676
361,1.7249999999999999,0.04212480038404465
362,1.7062499999999998,0.0428897999227047
363,1.6875,0.044949598610401154
364,1.66875,0.04570019990205765
365,1.65,0.04535999894142151
366,1.6437499999999998,0.045654296875
1,1.6375,0.04567210003733635
2,1.628125,0.04571450129151344
3,1.61875,0.04483160004019737
4,1.609375,0.046004001051187515
5,1.6,0.04597940295934677
6,1.625,0.04532790184020996
7,1.65,0.045435696840286255
8,1.675,0.045622698962688446
9,1.7,0.04619710147380829
10,1.575,0.04616229608654976
11,1.45,0.04521220177412033
12,1.325,0.04492969810962677
13,1.2,0.04496949911117554
14,1.2,0.044457998126745224
15,1.2,0.04604009911417961
16,1.2,0.046073198318481445
17,1.2,0.04611559957265854
18,1.19990234375,0.04503960162401199
19,1.1998046875,0.0478581003844738
20,1.19970703125,0.045969799160957336
21,1.199609375,0.045685600489377975
22,1.19931640625,0.0460112988948822
23,1.1990234375,0.045392900705337524
24,1.19873046875,0.04552260413765907
25,1.1984374999999998,0.045089900493621826
26,1.198828125,0.04495669901371002
27,1.19921875,0.04474470019340515
28,1.1996093749999999,0.044787101447582245
29,1.2,0.04546750336885452
30,1.1921875,0.045218899846076965
31,1.184375,0.04534360021352768
32,1.1765625,0.04529520124197006
33,1.16875,0.04529520124197006
34,1.1515625,0.04529520124197006
35,1.134375,0.04529520124197006
36,1.1171875,0.0455377995967865
