DOY,SW,PAR,TA,VPD,CO2,PA,ALB
1,0.4821984,0.8908919999999999,256.139,5.2,405.01599999999996,98877.00000000001,0.22948236149836346
2,0.7695647999999999,1.30537800000288,253.90300000000002,3.6000000000000005,404.751,99572.0,0.289281725292725
3,0.27043199999999995,0.564911999999712,257.38000000000005,8.9,405.35699999999997,98568.0,0.24181111394404375
4,0.2685312,0.5130900000002879,266.25100000000003,12.0,397.69,97658.99999999999,0.24178214348290236
5,0.5829408,1.1373300000028799,257.71700000000004,8.5,403.462,97966.00000000001,0.3032998338205503
6,0.7081343999999998,1.40398200000288,254.241,9.1,406.244,99126.0,0.3544019795116258
7,0.3629664,0.849510000000288,254.78500000000003,7.8,404.87800000000004,99346.0,0.25017388540642005
8,0.9313056000000002,1.586682,253.45100000000002,8.4,407.51,99835.0,0.3821143745251336
9,0.8417952000000001,1.9678500000028798,258.461,11.6,401.985,101015.0,0.40825977589710205
10,0.52272,1.09785600000288,260.887,14.000000000000002,400.36699999999996,101252.99999999999,0.459701941714714
11,0.5622048000000001,1.1516400000028801,265.54100000000005,15.4,398.449,100625.0,0.511144107532326
12,0.7318080000000001,1.3976640000028802,268.34400000000005,31.1,395.26599999999996,100149.0,0.3406526890576125
13,0.8024832,1.73543400000288,263.012,16.0,397.962,100085.0,0.5068714799879569
14,0.5030208,1.0863179999999997,262.3,8.7,400.324,100158.99999999999,0.3383370075752847
15,0.26472959999999995,0.571104,265.531,27.9,397.46,100871.00000000001,0.4072428139183056
16,0.3152736,0.6223139999997119,267.682,21.1,397.61699999999996,101532.99999999999,0.2770948427960673
17,0.3532896,0.732041999999712,265.321,12.1,397.525,101510.0,0.26435368462515013
18,0.4291487999999999,1.0462139999971198,263.369,10.5,398.839,101323.0,0.2626843074174772
19,0.37730879999999994,0.8977679999971199,261.651,7.7,401.145,101363.99999999999,0.251543828695971
20,0.9710496000000001,2.044926,257.663,6.3,406.055,101872.00000000001,0.31730439145475187
21,0.8980416000000001,1.9331999999999998,254.66400000000002,7.400000000000001,412.191,102479.0,0.3093903327664805
22,1.4399424,2.6653680000028794,253.82000000000002,6.2,412.55800000000005,102494.0,0.36171965747279866
23,1.5623712,3.2631480000028805,254.66200000000003,4.4,409.57599999999996,102262.0,0.41357302825421605
24,0.7543584,1.5676379999971197,256.69000000000005,5.9,408.586,101932.0,0.4086470823044874
25,0.8744543999999999,1.8314640000000004,261.309,8.4,405.405,101833.0,0.4037211363547587
26,2.0876832000000003,3.725207999997119,255.78300000000002,6.4,404.191,102068.0,0.44937088076727383
27,2.5389503999999996,4.0639680000028795,253.62000000000003,4.4,408.463,99738.0,0.5697621916026011
28,1.5184799999999998,2.7845279999971204,253.03600000000003,4.9,411.38300000000004,97783.99999999999,0.4372429922908797
29,1.2966047999999997,2.7123480000028795,253.66000000000003,5.4,413.065,97092.99999999999,0.26410549088816315
30,1.1913696,2.55772799999712,260.134,7.3,407.181,97225.0,0.25727677063422727
31,0.7107264,1.5049260000000002,262.785,10.5,406.814,97405.0,0.2649318100897771
32,0.9392543999999997,2.379132,262.31600000000003,5.9,406.88699999999994,98702.99999999999,0.34581382501633934
33,1.0502783999999998,2.00486604255264,263.807,7.8,405.06,97816.0,0.42669583994290156
34,1.6280351999999996,3.28482,264.901,5.8,403.39,99163.0,0.2695106581173763
35,0.7815743999999999,2.4086217446798397,264.70700000000005,27.3,405.444,100281.0,0.2577154423173619
36,0.7033823999999999,1.5324234893596798,265.454,6.1,405.648,100643.99999999999,0.2459202265173474
37,1.0328256,2.0993400000028797,267.302,5.6,403.99,100630.0,0.23412501071733297
38,0.562896,1.18040399999712,268.617,5.7,402.608,99757.0,0.2390130836569313
39,1.3675392,2.863296,269.07000000000005,4.3,403.275,98997.00000000001,0.23264936632468314
40,1.8633887999999994,3.7655819999999998,264.38100000000003,5.2,404.17800000000005,99344.0,0.3052787059211564
41,3.1136832,6.479838,260.44100000000003,10.0,410.975,99807.0,0.3644980013393667
42,2.0572704,4.7543399999971205,259.63300000000004,4.7,408.86800000000005,99895.0,0.2699920493697921
43,1.4478048,3.06440999999712,263.36,3.6000000000000005,403.67900000000003,100437.99999999999,0.27107666485694953
44,2.8761696,5.75004599999712,259.55,7.000000000000001,407.976,100012.0,0.3285584150116062
45,3.0953663999999996,6.357726000002879,261.98100000000005,13.5,405.913,99359.0,0.3694943758195644
46,2.4039936,4.71416399999712,265.75100000000003,35.9,400.119,98892.00000000001,0.2969400300888419
47,1.9424448,4.092282,263.958,40.0,399.608,98997.00000000001,0.38252811587189745
48,2.958336,6.02094025531584,260.011,38.9,401.827,99342.00000000001,0.2983258301581962
49,4.8898944,9.861858,257.487,37.6,405.082,99032.00000000001,0.40297801894966245
50,2.7287712,5.9431680000028795,253.80100000000002,43.0,403.17699999999996,98952.00000000001,0.2622237836788805
51,5.392051199999999,10.484225999971198,251.17100000000002,57.99999999999999,400.088,99085.0,0.3333396285059556
52,1.814832,3.71667599999712,253.09700000000004,50.9,399.798,98072.0,0.21967047975135431
53,3.2607359999999996,6.42042000000288,257.305,39.7,403.93199999999996,97767.99999999999,0.23855729064487882
54,4.338921599999999,8.248752000002881,256.656,40.5,405.668,97509.0,0.2870877921895546
55,5.688748800000001,10.8168840000288,256.146,47.4,401.319,98020.0,0.2827712675845222
56,6.487776000000002,11.969441999971199,262.32300000000004,62.2,403.51800000000003,98806.0,0.2915684791328114
57,2.1076416,4.690295999997119,265.32500000000005,59.3,405.07599999999996,98377.00000000001,0.2068027263093237
58,1.9090079999999994,4.03000200000288,268.257,82.4,404.284,98056.0,0.3561467215140673
59,0.8786879999999999,1.8691380000028799,269.98400000000004,72.7,399.384,97715.0,0.29454822101220973
60,1.20312,2.6603640000000004,272.588,72.3,398.787,97354.0,0.1368963044153777
61,2.7943488,6.145020000002881,269.33700000000005,55.39999999999999,402.95599999999996,96902.0,0.27369962737501446
62,2.8663199999999995,5.9863140000028805,268.25800000000004,66.6,402.43800000000005,97380.0,0.23441770678907334
63,3.7212479999999997,7.59821400000288,267.812,94.4,398.941,98384.0,0.23533898887282217
64,8.1018144,15.480216000028804,264.19,76.1,398.001,99316.0,0.277096133541621
65,5.224608,10.553418000028799,265.752,76.8,397.935,99850.0,0.2387203842388433
66,8.571657600000002,16.2182880000288,264.17600000000004,74.0,398.349,100643.99999999999,0.24468821863257537
67,4.427049599999999,9.02745,269.92600000000004,140.8,398.324,99467.00000000001,0.161012910622282
68,7.667308800000001,15.2063280000288,269.04200000000003,136.9,395.524,99484.0,0.12718455106297438
69,3.4064064000000003,6.99562800000288,273.26700000000005,146.4,395.284,98907.99999999999,0.07665845010623482
70,4.206729599999999,8.6852340000288,274.72200000000004,169.6,396.694,98208.0,0.06387392671261045
