DOY,SW,PAR,TA,VPD,CO2,PA,ALB
1,10.586592,21.924678600028802,281.22200000000004,498.4,372.281,99723.0,0.39160438986768087
2,9.383904,19.4419079999712,282.336,569.8,372.281,100161.0,0.4416130549646669
3,11.45016,23.707346399971197,283.09700000000004,597.0,372.281,100302.0,0.3621577987412252
4,11.842675199999997,24.5176757999712,282.339,530.8,372.281,99875.0,0.35018818489391085
5,11.385187199999999,23.5732842,282.06,537.4,372.281,99522.0,0.3642174044721897
6,10.552291199999999,21.853935,282.57800000000003,582.8,372.281,99291.0,0.3928720565064954
7,7.634390399999999,15.8302151999712,284.29900000000004,835.2,372.281,98941.0,0.5423678881020455
8,3.6545472,7.614426599999999,282.82300000000004,262.7,372.281,98827.00000000001,0.8
9,6.6705119999999996,13.840525799971198,281.307,193.1,372.281,99046.0,0.6203377321277163
10,1.7352575999999997,3.652304400002879,281.807,244.4,372.281,98422.99999999999,0.8
11,5.135529599999999,10.671760799999998,280.79600000000005,186.2,372.281,98323.0,0.8
12,11.9104128,24.65748,281.17100000000005,264.0,372.281,99045.0,0.34820267059769605
13,8.6126976,17.8498008000288,280.886,258.2,372.281,99895.0,0.48100258834235426
14,11.933395199999998,24.704953199971197,280.40700000000004,276.1,372.281,99970.0,0.3475335620639544
15,11.805696,24.441427799971194,278.25300000000004,456.70000000000005,372.281,99463.0,0.3512806394321774
16,12.783225600000002,26.459267399971193,278.03200000000004,488.3999999999999,372.281,99617.0,0.32449123614883707
17,12.625718400000002,26.134203599971197,277.697,422.90000000000003,372.281,100169.0,0.32852733978925386
18,10.811664,22.3893737999712,279.728,442.69999999999993,372.281,100054.0,0.3834765752233911
19,10.4429088,21.6280296000288,281.978,401.0,372.281,99927.0,0.3969756165951357
20,7.9074144,16.3939481999712,282.122,479.6,372.281,99786.0,0.5237176720019381
21,9.172310399999999,19.0050876000288,283.06100000000004,504.0,372.281,99756.0,0.4517632629168343
22,12.5178048,25.911397799999996,283.23900000000003,483.6,372.281,99510.0,0.3313522663840729
23,4.922380800000001,10.231772400028799,283.38800000000003,389.2,372.281,99268.99999999999,0.8
24,4.880736,10.1457468,280.66400000000004,133.3,372.281,99435.0,0.8
25,3.5169119999999987,7.33035240000288,279.52200000000005,149.2,372.281,99702.00000000001,0.8
26,9.903513599999998,20.514583799999997,279.40500000000003,195.5,372.281,99065.0,0.41852179258978095
27,12.0477024,24.9408629999712,279.98900000000003,455.5,372.281,98749.0,0.344246323241469
28,13.137984,27.1917017999712,279.71000000000004,415.30000000000007,372.281,99391.0,0.31575075548299714
29,6.976022399999999,14.471162999999995,279.663,222.40000000000003,372.281,99992.0,0.5933041032161189
30,7.732713599999999,16.033224600028802,279.35,423.80000000000007,372.281,100058.0,0.5355005371903699
31,14.110934399999998,29.200161599971203,279.862,479.7,372.281,100032.99999999999,0.29403263255288786
32,12.3729984,25.612493399971193,280.509,468.70000000000005,372.281,100247.00000000001,0.33521923274439713
33,11.9529216,24.7453235999712,281.946,504.7,372.281,100365.0,0.3469665834646539
34,14.4010656,29.799158400028794,285.541,599.4,372.281,100116.0,0.28812224395575486
35,14.253407999999999,29.494342799971204,286.413,567.1,372.281,99939.0,0.2910999049694934
36,14.636937600000001,30.2860566,284.81100000000004,540.3,372.281,99472.00000000001,0.28349020473696396
37,9.7209504,20.1377141999712,280.845,266.3,372.281,98815.0,0.4263542674680306
38,15.4775232,32.02125840002879,279.605,550.8,372.281,98698.0,0.26812813784362577
39,14.831942399999997,30.688648199999996,279.61600000000004,597.0,372.281,99137.0,0.2797712147584682
40,3.4442496000000005,7.1803998000028795,279.87,257.6,372.281,98962.0,0.8
41,6.3811584,13.2432138,279.459,112.1,372.281,98694.0,0.6483169807474738
42,7.3077984,15.156064800028798,279.057,99.8,372.281,98607.00000000001,0.5664927208672904
43,5.955552,12.3645942000288,277.84900000000005,158.3,372.281,98699.0,0.694385941609736
44,14.0317056,29.036572200000002,280.403,380.3,372.281,98097.00000000001,0.2956891855922745
45,16.584134399999996,34.3056816,280.732,246.70000000000002,372.281,99177.0,0.2502734236946127
46,15.077231999999999,31.194930599999996,280.59000000000003,295.3,372.281,99555.0,0.27523062949879684
47,16.0322976,33.1794161999712,282.976,468.0,372.281,99613.0,0.2587688805150445
48,5.2925184000000005,11.0086685999712,284.19300000000004,611.2,372.281,99367.0,0.7799126940956094
49,8.795865599999999,18.2406852000288,283.13000000000005,266.3,372.281,99303.0,0.4706950584397851
50,7.340543999999998,15.236465400028798,282.40200000000004,151.4,372.281,98944.0,0.5635034216133258
51,8.674905599999999,17.991070200028798,282.584,169.4,372.281,99613.99999999999,0.4772256619951122
52,11.266473600000001,23.3410338000288,282.141,182.4,372.281,99792.0,0.36784147864944544
53,6.780067199999999,14.0793785999712,281.182,140.6,372.281,99098.99999999999,0.6098138724834661
54,14.512780799999998,30.042522000000005,280.66900000000004,385.9,372.281,98671.0,0.28578826991320094
55,3.7792224000000005,7.884583199999999,279.53900000000004,164.7,372.281,98542.0,0.8
56,14.590627199999998,30.2031899999712,282.526,374.2,372.281,99062.99999999999,0.2842679990496853
57,10.946102399999997,22.679631000028802,283.06100000000004,481.80000000000007,372.281,98961.0,0.3785687865114902
58,19.096214399999997,39.50432099999999,283.723,720.8,372.281,98967.00000000001,0.21733825993893885
59,16.5180384,34.18209540002879,281.16700000000003,608.2,372.281,98900.0,0.25117829336472003
60,14.209862399999999,29.417106599971202,281.747,426.0,372.281,99301.0,0.2918642034705644
61,4.7939904,9.9794034000288,281.25100000000003,144.6,372.281,98959.0,0.8
62,12.899606400000001,26.7123437999712,281.663,341.4,372.281,98771.0,0.32141696177998935
63,3.9331872,8.20242000000288,282.8,242.79999999999998,372.281,98389.0,0.8
64,5.673456000000001,11.795027399971199,283.40000000000003,175.1,372.281,98752.99999999999,0.7279169513612358
65,11.700460799999998,24.1620825599712,284.73600000000005,387.0,372.281,98991.0,0.35534190254085085
66,19.938095999999998,41.242355999971196,285.16200000000003,385.8,372.281,99472.00000000001,0.20817919292038686
67,11.7866016,24.4146167999712,284.759,328.0,372.281,99570.0,0.3516663995405984
68,8.9650368,18.5900724,282.571,207.39999999999998,372.281,98937.99999999999,0.46184867930956947
69,20.240668799999998,41.866955999999995,282.92400000000004,536.5,372.281,98647.0,0.20507343276184875
