DOY,SW,TA,VPD,PA,PAR,CA,ALB
1,10.380458879999999,298.58200000000005,818.6,98531.2,29.5922988,398.20775,0.02815985353598011
2,13.366373759999998,297.913,765.16,98511.0,30.550647772339197,402.94075000000004,0.028239556526255812
3,11.75568768,298.26460000000003,766.6,98519.2,28.622880000014405,405.29575,0.028819741409654962
4,13.3706592,298.2972,801.7199999999999,98506.2,29.646233999971198,399.372,0.02888055528409199
5,13.645445760000001,298.4422,789.2,98510.0,32.406448021286394,396.81725,0.029581057429338933
6,12.607176959999999,298.1994,734.36,98492.0,27.748116,400.4395,0.024022712028459445
7,14.179484159999998,298.3388,758.62,98499.2,31.4735669042616,397.11325,0.027955976149442115
8,13.4629344,298.33160000000004,815.66,98513.2,26.978057138296798,401.875,0.03031340010167144
9,14.655202560000003,298.3774,807.48,98535.4,31.2128824500072,397.42525,0.027517676439389585
10,12.028988159999999,297.9392,687.9399999999999,98580.0,26.791687867010396,398.55325,0.024204969960045567
11,14.722197119999999,298.5388,780.98,98549.4,30.633660599990396,399.83275,0.029304450804003013
12,11.93548608,297.60980000000006,676.9399999999999,98558.2,25.6037420869344,401.2795,0.02930197458843361
13,11.7662976,297.80820000000006,716.7,98576.8,27.007074,399.82675,0.02825928495622681
14,13.28145984,298.2092,817.0600000000001,98541.8,30.693592695628798,396.79200000000003,0.027947192071694715
15,13.025473920000001,297.68980000000005,786.08,98506.6,24.352694313839994,396.62800000000004,0.028747605934315582
16,13.95531072,297.5466,818.2400000000001,98518.4,30.125168263814402,398.87175,0.026197549041935605
17,14.6444544,298.22880000000004,778.9,98583.2,33.9959707659576,396.88124999999997,0.025624624929794435
18,15.036053759999998,298.2632,831.74,98596.6,29.8955136829968,401.4525,0.027609962108507864
19,9.84356928,297.5732,770.9199999999998,98639.2,19.47747401671176,397.625,0.03266623237502983
20,13.753203840000001,298.1866,861.5600000000001,98612.0,29.5442912739096,400.40599999999995,0.028553833806887925
21,18.08526528,299.03560000000004,945.5400000000002,98576.4,37.22667778722239,396.898,0.028392142825003405
22,14.285220480000001,298.69120000000004,879.2,98616.6,29.621234345752804,399.5845,0.030809587114010804
23,12.049672320000003,298.1674,846.22,98617.6,25.895259130435196,396.33025,0.031989968810270566
24,13.088943359999998,298.4562,794.24,98580.0,32.137434000000006,398.7165,0.026392018078636142
25,14.37422976,298.3204,762.3,98572.6,32.0178388408704,400.67199999999997,0.028579387246159698
26,16.865573759999997,299.15560000000005,863.7,98563.6,34.7180161764816,397.77425,0.026565704122238153
27,14.591975040000003,298.9498,964.26,98549.8,29.138901177261598,400.85125000000005,0.031044254989483017
28,13.25199744,298.04820000000007,874.7400000000001,98524.8,25.980929521271996,398.52750000000003,0.03195754021499651
29,15.128484480000001,298.4118,851.0200000000001,98503.6,30.712076508780005,396.83475,0.02917336441717973
30,14.563290239999997,298.18,814.72,98550.8,31.5016995471768,397.95300000000003,0.024948084551879787
31,13.188890879999999,297.8312000000001,764.72,98613.2,27.0237314934864,397.7955,0.02626358244308039
32,14.325465600000001,298.1638000000001,806.9,98594.2,26.2229519960784,394.81975,0.025730861956221332
33,13.10948928,298.329,822.5,98564.4,26.6541622084944,399.66325,0.027410878431859204
34,13.87606464,298.0308,854.6200000000001,98568.8,30.6093571304544,396.35925000000003,0.02919627799400612
35,15.147146879999998,298.45820000000003,850.1600000000001,98597.4,37.048259611065596,395.88050000000004,0.028571111507845397
36,14.81697792,298.5136,858.6200000000001,98597.8,35.589344464972804,396.76324999999997,0.026603874221440716
37,15.793850879999999,298.4198,908.64,98580.4,42.329068799976,396.44025,0.02448002824953682
38,13.888437119999997,297.8968,761.4,98617.8,29.212645599993596,399.00449999999995,0.030813535765490452
39,12.62767104,297.9126,765.68,98614.8,31.872271114915204,396.78974999999997,0.026875720835236715
40,13.790373120000002,298.10740000000004,814.46,98582.8,35.29238919520319,395.14175,0.026621782785873717
41,12.511082879999998,297.36600000000004,707.04,98568.8,27.723609413668797,395.46475,0.029397983087435246
42,12.355234559999996,297.84540000000004,735.9599999999999,98603.8,28.6800735041568,399.35675,0.029724273948532876
