DOY,SW,PAR,TA,VPD,CO2,PA,ALB
1,9.07793374619633,16.624461588199807,270.7765000086185,64.95406785979867,381.1536111111111,84437.39736413398,0.21700062641634663
2,7.352621128964424,13.738584597425534,271.86787500714263,91.15680368461958,381.14809586056646,84500.30098058995,0.20498032981521816
3,5.233628669428825,9.724665661134571,270.2910937454303,27.890781592577696,381.14258061002175,84409.26905647341,0.2741759882391775
4,11.489473807418348,20.805105607156456,269.07669794420406,119.60020538729925,381.1370653594771,84338.48633235093,0.1895715239032309
5,10.746770458585024,20.14827296150252,269.2511458445092,124.81642160564661,381.13155010893246,84348.69057279716,0.18010610821269696
6,9.288917071509362,17.627113814141975,268.359927089115,114.96227035919826,381.1260348583878,84296.43050375588,0.18432056521670204
7,9.135134170478581,15.429952792437001,269.75752083073064,215.46329422853887,381.1205196078431,84378.24159982424,0.1921670936910696
8,5.679733513462544,14.197653071163966,263.6746458546321,23.39623595277468,381.11500435729846,84016.32834285324,0.2800312100597061
9,10.876880717253684,18.95462642615363,265.35844789306327,109.86731201410294,381.1094891067538,84118.04308368581,0.20140863314167745
10,1.7171351795375347,3.8159621864218263,268.67996876299384,163.87058386268717,381.10397385620917,84315.23426378032,0.24298400943662166
11,9.174033914852142,17.38241281447336,263.17625003417334,40.64174943293135,381.09845860566446,83985.9910238472,0.20928608836777798
12,12.189555019783974,22.124422761357575,268.65157294631007,213.2744117329518,381.0929433551198,84313.56756717304,0.1806609295224195
13,2.7255527910053727,5.591896243115142,267.03657292187216,23.476108241205417,381.08742810457517,84218.23596805857,0.2621260006147062
14,2.3799878967761994,4.5029700427584345,262.1656250492732,21.86193841819962,381.0819128540305,83924.1477553148,0.6307345051379958
15,7.473619881230593,10.20941104098335,262.6536457872391,21.711242167900004,381.0763976034858,83954.06606692377,0.6135166460974135
16,11.262350711309907,20.26000810768157,263.05066669344905,31.6352150713404,381.07088235294117,83978.33004515014,0.29302851059539586
17,3.0813614666998386,6.249504618615656,267.69626041611036,41.63745169838269,383.61000000000007,84257.30496690262,0.33462118015046977
18,12.497005780935288,18.985120208668334,268.3813958203793,118.68324450527628,382.04697916666663,84297.6931766033,0.3131795256755232
19,2.4891246070023625,5.524253943618759,268.8426771050692,18.37006495334208,383.61614583333335,84324.77817878056,0.29537574112716297
20,11.532084253692625,21.38982308128327,268.0412395830949,81.58255191519856,381.9197916666667,84277.66507433941,0.2240803121829657
21,6.218541889080405,12.140638403681292,267.3045103983085,56.33243409295877,382.4479166666667,84234.12564718828,0.24846788883029625
22,9.23273650847599,17.02596413656734,260.52906254291537,35.63062800094485,384.2284375,83823.06336817279,0.23570418512347663
23,3.2546304199271834,7.9381259840782725,262.51979169607165,22.268001952519022,384.9238541666667,83945.870298941,0.40104261485546355
24,5.7431249709717935,11.992602679705247,264.3193333085378,21.683308854699135,382.9088541666667,84055.41378967519,0.377490203500202
25,8.650976396763324,14.932238458158821,264.0478958125909,21.909834941228233,382.7859375,84038.97882557349,0.3948175213770351
26,14.219169207322597,26.42003643854074,264.4425000385444,23.352092504501343,383.41114583333336,84062.86100224727,0.27529769494257417
27,5.611406417003274,11.05296845696792,265.08941662669184,20.73564948514104,383.5125,84101.87157550549,0.2901566580094467
28,13.835602877426147,24.570460827353596,266.0751354134083,63.546936524411045,381.4857291666667,84160.97588682815,0.246542700380612
29,11.697634482488038,16.838293830629066,269.0104479080439,71.66206492111087,381.6026190476191,84334.60786528124,0.3293305401249733
30,7.403668179005384,13.851585063245146,267.8653750008345,70.708122337237,382.37552083333327,84267.29188878833,0.23614077325051963
31,12.51673740890622,24.036800365696102,266.5037499701977,111.95508142312367,382.10239583333333,84186.54991031275,0.23873123866882165
32,11.279241942322251,20.842912777251005,271.0060520531517,346.9541348516941,380.1588541666667,84450.666980175,0.20912567342934293
33,2.031789608851075,4.2464232183057815,273.6482500018964,48.40566677206273,382.95760416666667,84601.9196948808,0.20713408743461975
34,4.721458503068983,8.729774887427688,268.72844792763397,20.06460277674099,384.41416666666663,84318.07900304928,0.24707317547617655
35,6.559770654585957,5.565499249222128,264.6402083472411,19.724241054306425,381.37406250000004,84074.80195322583,0.7362245253130907
36,5.386347895091772,8.424703825036437,263.64802087704345,20.70660417278608,384.231875,84014.71035836596,0.34954088292848373
37,5.857465526434778,7.493151664711162,263.54666657606765,20.90057277431091,384.7963541666666,84008.54835621697,0.6425302967816013
38,4.475268870896101,10.337963331887126,263.1564583516121,21.888528702159725,385.47229166666665,83984.78411678945,0.364543430908275
39,7.463510986661911,10.803216637005283,264.6314582761129,21.069047755251326,384.4840625,84074.27382517714,0.5265738285014788
40,6.346987201935052,6.634508426368609,265.6046458220482,20.115803834050894,385.4484375,84132.81556918807,0.8934011853054488
41,13.397264827609062,20.441194177396593,265.87749997635683,79.36705481261015,383.64989583333335,84149.15797950582,0.36565814833312665
42,12.369885415524244,21.763101594464107,268.46781246225044,95.81608474254608,386.2104166666666,84302.77384113721,0.22416135960529235
43,9.804625121086836,18.001157410982252,268.0319374984503,51.717318749676146,384.69614583333333,84277.11671583625,0.26245212274936336
44,16.30363850095868,28.579500005991385,269.282666663335,191.84581376612186,384.4478125,84350.53306319214,0.21438060022057662
45,13.098953718352318,22.500586727341265,270.96963541443154,127.04386134476711,384.52052083333336,84448.56324705899,0.2073577121892679
46,2.1781691987603904,5.970738639823347,266.3514687454701,18.185878917574883,383.4735416666667,84177.47249591335,0.3518085369229875
47,12.673939510434865,24.6285900882259,265.3839166398843,28.7364698946476,385.1184375,84119.5724451391,0.2963797673404893
48,3.230486074644327,6.701493608219549,269.140947924157,167.6221113651991,383.38937500000003,84342.24602445506,0.2723244247243817
49,18.25640548399687,31.910516999871653,268.14129168649515,162.11172603070736,382.9939583333333,84283.56092958504,0.22812393816569954
50,16.29378639035225,29.108228308439255,274.38639583159863,428.2513265808423,385.7360416666667,84643.69290167277,0.19962615321490332
51,17.726679853105544,32.18717155966311,275.6528750014709,444.7991938640674,387.1107291666667,84714.88281849677,0.18590086540809803
52,14.10692019739151,25.601882412598282,276.9506250079784,331.64670765399933,385.08885416666664,84787.20467782448,0.19239017250911458
53,2.4395886193614453,5.143451433901861,278.5074895805121,118.25234817806631,382.37614583333334,84873.1422780966,0.2153994080022974
54,4.356356380565464,8.920810874858871,267.8626458155985,14.695709379157051,385.5273958333333,84267.13081151947,0.22705763496276887
55,13.448916726350785,24.469311654577776,270.33589583139246,321.22316947206855,381.248125,84411.86915942655,0.21365983208517755
56,15.65969320335388,29.141539236023647,273.42982289583733,266.210570683082,383.84,84589.51842132105,0.19153471382824738
57,3.265153220517095,6.743836811156943,269.0919478464313,72.89777986394861,385.005,84339.37885540038,0.24141188959414978
58,6.75789446208179,16.093184396365285,264.7968020176888,51.090445183217525,383.93593749999997,84084.2480294995,0.42185239390139956
59,17.656803261101246,31.328103515303134,271.4044166581457,287.56996293862665,382.598125,84473.64578662977,0.20688658427663736
60,3.5099946505218744,6.042779989783465,273.9538645790564,82.63666393468156,382.39697916666665,84619.24033927049,0.21954544230293266
61,6.200388820159435,12.780309578298032,268.13045833369097,58.81530368545403,384.55718750000005,84282.92273970616,0.28977171305566735
62,6.628878052291274,13.031189989135042,266.4751874939601,89.19439238185683,384.54760416666664,84184.84804423054,0.24837317105803733
63,15.290704768120497,25.703701232003418,266.13198961178466,152.0154369994998,385.4796875,84164.3725665413,0.23652319624802073
64,8.588988014236092,12.533171493065357,265.5886354184151,49.63823892176151,385.6113541666667,84131.85567412102,0.33900962582825045
65,15.520580112004279,26.214413437911496,265.98269787788394,112.00588683908184,385.545625,84155.45046463671,0.23410171234900434
66,9.013565668680892,17.447983116574957,266.34486457069715,32.7771039834867,385.24864583333334,84177.078607168,0.2478863827139757
67,6.104878182846307,13.529901454003527,262.4374999539058,22.37644509101907,385.1080208333333,83940.8278202204,0.318983340871669
68,17.89655494226217,32.486509819105265,264.90993750453,88.70854526758194,383.7416666666666,84091.06619732418,0.2693666086653278
69,14.57415441019535,26.097742792066185,269.92172915919843,159.9603608250618,384.4286458333333,84387.80245507881,0.23876623783433007
70,20.867191249465943,37.19745175318904,274.9297187544157,278.34608207146323,383.4648958333334,84674.30795713197,0.20947846221710414
71,0.8824212063923478,2.0180610041432083,276.4712291817864,66.39961677913865,384.2402083333333,84760.56186010649,0.19331932904657745
72,5.77975594536066,11.625794951771201,270.82130209652087,187.40264363586903,383.43812500000007,84439.98885317966,0.21621189863648588
73,20.960198113059995,36.7101791441828,271.64537500249224,364.32430297136307,383.8999999999999,84487.51468845268,0.19011486555447324
74,18.611445592546463,32.90519159248061,272.78078123989826,349.56839034954703,384.63375,84552.56040821267,0.1863219724955808
75,21.303882074689863,37.74182397764996,274.50521873476237,351.9319410125414,385.42749999999995,84650.39789887618,0.17882545921944432
76,19.78550814743042,35.585323225859554,277.5716770997644,520.6807732582092,383.7285416666667,84821.59334128886,0.17676967480333286
77,15.740780413596331,27.813745762429384,279.2215417088072,230.74576423193017,382.4536458333334,84912.26011951026,0.17731106818344564
78,4.749447604501806,8.661412769784405,271.66994791106015,13.328512615407817,383.80197916666674,84488.92775881362,0.24427481841435078
79,21.12204620357752,37.27546911337227,268.01360418011745,102.78086783364415,383.9042708333333,84276.03586253354,0.20991270572435375
80,7.692594289371371,15.486499862793087,271.28741667040003,211.55771870786944,384.2955208333333,84466.90336850278,0.21648863511614264
81,19.035372672128677,34.45423926342576,271.30072917557015,223.57787241538367,384.8361458333334,84467.67080626727,0.2036278302567534
82,3.3702857988685366,6.272096414677798,270.2940000033379,50.586510092640914,389.32562499999995,84409.43774622834,0.35994481433904413
83,10.384465899932383,18.827398765103144,271.45783333438294,40.305589186027646,385.9690625,84476.72226904913,0.308819133227871
